"TID","NOTRANS","TGLORDER","TGLTRANS","TGLESTIMASI","KODE","JENIS","KODEKARYAWAN","KODESALES","KODEPELANGGAN","KODEPEMASOK","CATATAN","JMLTRANS","DISKONPERSEN","DISKONNILAI","BIAYA","TOTALNILAIBELI","TOTALTRANS","JMLBAYAR","SISA","CARABAYAR","KARTU","NOREFKARTU","STATUS","NOREF","POSTED","JNSSTOK","BAYARLAIN1","BAYARLAIN2","KETBAYARLAIN1","KETBAYARLAIN2","TAHUN","BULAN","TGLJTHTEMPO","TGLUPLOAD","TGLUPDATE","JAMUPLOAD","JAMUPDATE","DP"
157,SO1903-00001,2019-03-13,,2019-03-16,SO,Sales Order,"","",C001,,"",309000.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,4,,0,,0.0,0.0,,,"2019","03",,,,,,100000.0
159,TJ1903-00001,,2019-03-14,,TJ,Sales,"","",C001,,"",309000.0,0.00,0.0,0.0,0.0,309000.0,209000.0,0.0,Tunai,,,4,SO1903-00001,0,Keluar,0.0,0.0,,,"2019","03",2019-04-13,,,,,100000.0
160,TJ1903-00002,,2019-03-14,,TJ,Sales,"","",C001,,"",309000.0,0.00,0.0,0.0,0.0,309000.0,209000.0,0.0,Tunai,,,4,SO1903-00001,0,Keluar,0.0,0.0,,,"2019","03",2019-04-13,,,,,100000.0
161,TJ1903-00003,,2019-03-14,,TJ,Sales,"","",C003,,"",300000.0,0.00,0.0,0.0,0.0,300000.0,300000.0,50000.0,Tunai,,,4,SO1903-00002,0,Keluar,0.0,0.0,,,"2019","03",2019-04-13,,,,,50000.0
162,SO1903-00003,2019-03-14,,2019-03-14,SO,Sales Order,"","",C002,,"",328000.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,4,,0,,0.0,0.0,,,"2019","03",,,,,,100000.0
158,SO1903-00002,2019-03-13,,2019-03-16,SO,Sales Order,"","",C003,,"",300000.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,4,,0,,0.0,0.0,,,"2019","03",,,,,,50000.0
163,TJ1903-00004,,2019-03-14,,TJ,Sales,"","",C002,,"",328000.0,0.00,0.0,0.0,0.0,328000.0,228000.0,0.0,Tunai,,,4,SO1903-00003,0,Keluar,0.0,0.0,,,"2019","03",2019-04-13,,,,,100000.0
164,SO1903-00004,2019-03-14,,2019-03-14,SO,Sales Order,"","",C003,,"",243000.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,4,,0,,0.0,0.0,,,"2019","03",,,,,,100000.0
165,TJ1903-00005,,2019-03-14,,TJ,Sales,"","",C003,,"",243000.0,0.00,0.0,0.0,0.0,243000.0,200000.0,57000.0,Tunai,,,4,SO1903-00004,0,Keluar,0.0,0.0,,,"2019","03",2019-04-13,,,,,100000.0
166,SO1903-00005,2019-03-14,,2019-03-14,SO,Sales Order,"","",C001,,"",139000.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,4,,0,,0.0,0.0,,,"2019","03",,,,,,100000.0
167,TJ1903-00006,,2019-03-14,,TJ,Sales,"","",C001,,"",139000.0,0.00,0.0,0.0,0.0,139000.0,50000.0,11000.0,Tunai,,,4,SO1903-00005,0,Keluar,0.0,0.0,,,"2019","03",2019-04-13,,,,,100000.0
325,PO2507-00001,2025-07-18,,,PO,Purchase Order,E002,"",,S003,"",900000.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,0,,0.0,0.0,,,"2025","07",,,,,,0.0
169,SO1903-00006,2019-03-15,,2019-03-16,SO,Sales Order,"","",C003,,"",195000.0,0.00,0.0,0.0,0.0,0.0,0.0,-145000.0,,,,4,,0,,0.0,0.0,,,"2019","03",,,,,,50000.0
