"NOTRANS","KODE","NOURUT","KODEBARANG","NAMABARANG","KODESATUAN","JML","HRGBELI","PANJANG","LEBAR","JASADESAIN","BIAYALAIN","HRGJUAL","SATUANJUAL","JMLJUAL","HRGTERJUAL","DISKPERSEN","DISKNILAI","SUBTOTAL","JMLRETUR","KONVERSI","STOKASAL","NAMAPESANAN","URAIAN","KETPESANAN","LOKASIFILE","STATUSCETAK","KODEBAHAN","KODEBAHAN1","KODEBAHAN2","KODEBAHAN3","KODEBAHAN4","KODEBAHAN5","JMLBAHAN1","JMLBAHAN2","JMLBAHAN3","JMLBAHAN4","JMLBAHAN5"
TJ1903-00001,TJ,1,"0100100001",Cetak Banner Reg,UNIT,1.00,0.0,2.00,3.00,3000.0,0.0,15000.0,UNIT,1.00,15000.0,0.00,0.0,0.0,0.00,0.00,0.00,,,,,0,"0801500001",,,,,,,,,,
TJ1903-00001,TJ,2,"0100100001",Cetak Banner Reg,UNIT,1.00,0.0,3.00,4.00,0.0,0.0,18000.0,UNIT,1.00,18000.0,0.00,0.0,0.0,0.00,0.00,0.00,,,,,0,"0801500001",,,,,,,,,,
TJ1903-00002,TJ,1,"0100100001",Cetak Banner Reg,UNIT,1.00,0.0,2.00,3.00,3000.0,0.0,15000.0,UNIT,1.00,15000.0,0.00,0.0,0.0,0.00,0.00,0.00,,,,,0,"0801500001",,,,,,,,,,
TJ1903-00002,TJ,2,"0100100001",Cetak Banner Reg,UNIT,1.00,0.0,3.00,4.00,0.0,0.0,18000.0,UNIT,1.00,18000.0,0.00,0.0,0.0,0.00,0.00,0.00,,,,,0,"0801500001",,,,,,,,,,
TJ1903-00003,TJ,1,"0100100002",Cetak Banner Kilat,UNIT,3.00,0.0,4.00,1.00,0.0,0.0,25000.0,UNIT,3.00,25000.0,0.00,0.0,0.0,0.00,0.00,0.00,,,,,0,"0801500003",,,,,,,,,,
SO1903-00002,SO,1,"0100100002",Cetak Banner Kilat,UNIT,3.00,0.0,4.00,1.00,0.0,0.0,25000.0,UNIT,3.00,25000.0,0.00,0.0,0.0,0.00,1.00,0.00,SAMBUTAN,SELAMAT DATANG KEPADA PARA PESERTA SEMINAR,BAHAN ALBATROS,E:\Project\016 Software Percetakan\_2. Unlimited\03. Pro\_form\FrmDataBarangDiskon.log,0,"0801500003",,,,,,,,,,
TJ1903-00004,TJ,1,"0100100001",Cetak Banner Reg,UNIT,3.00,0.0,3.00,1.00,5000.0,0.0,17000.0,UNIT,3.00,17000.0,0.00,0.0,0.0,0.00,0.00,0.00,,,,,0,"0801500002",,,,,,,,,,
TJ1903-00004,TJ,2,"0100100001",Cetak Banner Reg,UNIT,5.00,0.0,2.00,1.00,0.0,0.0,17000.0,UNIT,5.00,17000.0,0.00,0.0,0.0,0.00,0.00,0.00,,,,,0,"0801500001",,,,,,,,,,
SO1903-00004,SO,1,"0100100001",Cetak Banner Reg,UNIT,3.00,0.0,3.00,1.00,5000.0,0.0,17000.0,UNIT,3.00,17000.0,0.00,0.0,0.0,0.00,1.00,0.00,Selamat Datang,Selamat Datang Para Peserta,Bahan Albatros,"",0,"0801500003",,,,,,,,,,
SO1903-00003,SO,1,"0100100001",Cetak Banner Reg,UNIT,3.00,0.0,3.00,1.00,5000.0,0.0,17000.0,UNIT,3.00,17000.0,0.00,0.0,0.0,0.00,1.00,0.00,Ayo Sukseskan,Ayo Sukseskan Program Indonesia Mengaji,Bahan - Flexy,"",0,"0801500002",,,,,,,,,,
SO1903-00003,SO,2,"0100100001",Cetak Banner Reg,UNIT,5.00,0.0,2.00,1.00,0.0,0.0,17000.0,UNIT,5.00,17000.0,0.00,0.0,0.0,0.00,1.00,0.00,Ayo Mengaji,Ayo Mengaji Bersama,Bahan - Poly,"",0,"0801500001",,,,,,,,,,
TJ1903-00005,TJ,1,"0100100001",Cetak Banner Reg,UNIT,3.00,0.0,3.00,1.00,5000.0,0.0,17000.0,UNIT,3.00,17000.0,0.00,0.0,0.0,0.00,0.00,0.00,,,,,0,"0801500003",,,,,,,,,,
