"BID","KODEBARANG","NAMABARANG","BARCODE","BARCODE2","JENIS","KODEKELOMPOK","KODEKATEGORI","KODEPEMASOK","KODESATUAN","HRGBELI","MARGINPERSEN","MARGINNILAI","HRGJUAL","STOKAWAL","STOKMASUK","STOKKELUAR","STOKOPNAME","STOKAKHIR","STOKMIN","STOKMAX","JMLREORDER","SATUAN1","KONVERSI1","HRGSATUAN1","HRGMULTISATUAN1","SATUAN2","KONVERSI2","HRGSATUAN2","HRGMULTISATUAN2","SATUAN3","KONVERSI3","HRGSATUAN3","HRGMULTISATUAN3","SATUAN4","KONVERSI4","HRGSATUAN4","HRGMULTISATUAN4","SATUAN5","KONVERSI5","HRGSATUAN5","HRGMULTISATUAN5","AKTIF","BISAEDITNAMA","BISAEDITHRG","HPP","HRGLEVEL1","HRGLEVEL2","HRGLEVEL3","HRGLEVEL4","HRGLEVEL5","TGLUPLOAD","TGLUPDATE","JAMUPLOAD","JAMUPDATE","GABUNGAN","PRODUKDIMENSI"
321,"0500900001",STICKER VINYIL CHINA DURATAC (OUT),"","",Produk,"05","009",S001,MTR,0.0,0.00,0.0,37000.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.0,0.0,,0.00,0.0,0.0,,0.00,0.0,0.0,,0.00,0.0,0.0,,0.00,,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,2025-07-16,,14:29:57,0,1
322,"0500900002",STICKER VINYL CHINA DURATAC (OUT),"","",Bahan,"05","009",S001,MTR,18000.0,105.56,19000.0,37000.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.0,0.0,,0.00,0.0,0.0,,0.00,0.0,0.0,,0.00,0.0,0.0,,0.00,,0.0,1,0,0,18000.0,0.0,0.0,0.0,0.0,0.0,,2025-07-21,,10:36:03,0,1
323,"0501000001",STICKER VINYL CHINA DURATAC LAM (OUT),"","",Produk,"05","010",S001,MTR,0.0,0.00,0.0,58000.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.0,0.0,,0.00,0.0,0.0,,0.00,0.0,0.0,,0.00,0.0,0.0,,0.00,,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,1
324,"0501000002",STICKER VINYL CHINA DURATAC LAM (OUT),"","",Bahan,"05","010",S001,MTR,25000.0,132.00,33000.0,58000.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.0,0.0,,0.00,0.0,0.0,,0.00,0.0,0.0,,0.00,0.0,0.0,,0.00,,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,2025-07-21,,10:36:19,0,1
325,"0500100001",STICKER VINYL RITRAMA (OUT),"","",Produk,"05","011",S001,MTR,0.0,0.00,0.0,57000.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.0,0.0,,0.00,0.0,0.0,,0.00,0.0,0.0,,0.00,0.0,0.0,,0.00,,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,2025-07-16,,15:32:49,0,1
326,"0501100001",STICKER VINYL RITRAMA (OUT),"","",Bahan,"05","011",S001,MTR,33000.0,72.73,24000.0,57000.0,193.00,0.00,0.00,0.00,193.00,0.00,0.00,0.00,,0.00,0.0,0.0,,0.00,0.0,0.0,,0.00,0.0,0.0,,0.00,0.0,0.0,,0.00,,0.0,1,0,0,33000.0,0.0,0.0,0.0,0.0,0.0,,2025-07-23,,17:00:25,0,1
327,"0501200001",STICKER VINYL RITRAMA LAM (OUT),"","",Produk,"05","012",S001,MTR,0.0,0.00,0.0,78000.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.0,0.0,,0.00,0.0,0.0,,0.00,0.0,0.0,,0.00,0.0,0.0,,0.00,,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,2025-08-23,,14:15:48,0,1
328,"0501300001",STICKER TRANSPARAN (OUT),"","",Produk,"05","013",S001,MTR,0.0,0.00,0.0,52000.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.0,0.0,,0.00,0.0,0.0,,0.00,0.0,0.0,,0.00,0.0,0.0,,0.00,,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,1
329,"0501300002",STICKER TRANPARAN (OUT),"","",Bahan,"05","013",S001,MTR,18000.0,188.89,34000.0,52000.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.0,0.0,,0.00,0.0,0.0,,0.00,0.0,0.0,,0.00,0.0,0.0,,0.00,,0.0,1,0,0,18000.0,0.0,0.0,0.0,0.0,0.0,,2025-07-21,,10:37:09,0,1
330,"0501400001",STICKER TRANSPARAN LAM (OUT),"","",Bahan,"05","014",S001,MTR,25000.0,192.00,48000.0,73000.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.0,0.0,,0.00,0.0,0.0,,0.00,0.0,0.0,,0.00,0.0,0.0,,0.00,,0.0,1,0,0,25000.0,0.0,0.0,0.0,0.0,0.0,,2025-07-21,,10:37:41,0,1
