No;Nama Bahan;Jumlah 
1;Stiker Creva 1M ;1
2;Stiker Creva 1,2M ;11
3;Stiker Creva 1,5M ;2
4;Stiker Ritrama 1M ;2
5;Stiker Ritrama 1,2M ;2
6;Stiker Ritrama 1,5M ;1
7;Albatros 90M;1
8;Albatros 1,2M;1
9;Averi 1m;0
10;Averi 1,2M;3
11;Essen 1M;2
12;Essen 1,2M;8
13;Essen 1,5M;0
14;Transparant 1M;1
15;Laminating Glos 1M;1
16;Laminating Glos 1,2M;1
17;Laminating Glos 1,5M;0
18;Laminating Dof 1M;3
19;Laminating Dof 1,2M;1
20;Laminating Dof 1,5M;1
21;Duratrans 1,2M;1
22;Roll up Banner 60;15
23;Roll up Banner 80;8
24;Roll up Banner 85;5
25;X Banner 60;6
26;KD Board ;193
27;Tripod 1 Sisi;5
28;Tripod 2 sisi;8
29;Flexy China 280 1M;1
30;Flexy China 280 1,5M;2
31;Flexy China 280 2M;2
32;Flexy China 280 3M;1
33;Flexy Korchin 385 1M;0
34;Flexy Korchin 385 1,5M;1
35;Flexy Korchin 385 2M;2
36;Flexy Korchin 385 3M;0
37;Flexy Backlite Korchin 2M;0
38;PVC Board 3mm;2
39;ImpraBoard 122 x 244;2
40;ImpraBoard 150 x 100;7
41;FoamBoard 122 x 244;3
42;Tinta Outdoor C;3
43;Tinta Outdoor M;4
44;Tinta Outdoor Y;4
45;Tinta Outdoor K;4
46;Cleaner Outdoor;3
47;Tinta Indoor C;4
48;Tinta Indoor M;4
49;Tinta Indoor Y;4
50;Tinta Indoor K;4
51;Cleaner Indoor;3
52;Tinta Mimaki C;1
53;Tinta Mimaki M;1
54;Tinta Mimaki Y;1
55;Tinta Mimaki K;1
56;Cleaner Mimaki ;4
